100 & 1.3500 & 1.3508 & 0.065 & 177 & 0.65\\
150 & 1.3454 & 1.3459 & 0.033 & 56 & 0.27\\
200 & 1.3456 & 1.3459 & 0.016 & 51 & 0.29\\
250 & 1.3454 & 1.3455 & 0.010 & 54 & 0.38\\
